Pays,Population,Pays,densite 1970,densite 2000,Pays,taux de fecondite,Pays,hommes 100 femmes,Nb de nouveau-nés,Pays, Taux de fécondité /CIA Factbook 2016,Taux de fécondité/ONU 2010–2015,Taux de natalité (‰ hab)/CIA Factbook 2016,Taux de natalité (‰ hab)/ONU 2010–2015,Pays,taux deurbanisation,pays,espérance de vie des deux sexes,pays,taux de croissance demographique,pays,Taux de mortalité ‰ hab/(ONU 2010–2015),0,Pays,"Taux de mortalité infantile/‰ naissances (2010–2015, ONU",Taucde mortalitePourcentage,"Taux de mortalité infantile/‰ naissances (2016, Banque mondiale)", Banque mondiale en poucentage,Pays,Tranches âge 0 a 14ans,Tranches âge 15 a 64 ans,Tranches âge plus de 65 ans,pays ,Age médian Hommes
 Afrique du Sud,60 042 000, Antigua-et-Barbuda,"105,2","125,8", Togo,4.28, Paraguay,"103,0","105,0", Rwanda,"4,46","4,20","33,3","33,5", Venezuela,"89,0 %", Slovénie,"77,9", Gambie,"2,63", Mozambique,"11,9","11,2", Lituanie,"3,76","0,4 %","5,30","0,5 %", Guinée,"42,4 %","54,5 %","3,1 %", Bhoutan,"27,7"
 Kenya,54 986 000,"152,5","166,9","151,6", Central African Republic,4.09, Palestine,"102,9","105,0", Tchad,"4,45","6,31","36,1","45,2", Bahreïn,"88,8 %", Danemark,"78,6", Malawi,"2,57", Roumanie,"11,9","12,4", Croatie,"3,95","0,4 %","4,70","0,5 %", Haïti,"33,3 %","62,0 %","4,7 %", Biélorussie,"36,8"
 Birmanie,54 806 000,"190,0","215,1","234,2", Ethiopia,4.07, Jordanie,"102,7","105,4", Togo,"4,43","4,69","33,7","35,8", Liban,"87,9 %", Chypre,"78,3", Mauritanie,"2,53", Allemagne,"11,6","10,9", Australie,"3,96","0,4 %","3,70","0,4 %", Hong Kong,"12,3 %","72,1 %","15,6 %", Birmanie,"27,3"
 Corée du Sud,51 780 000, Arabie saoudite,"1,5","1,9", Equatorial Guinea,4.02, Nigeria,"102,6","105,9", Gabon,"4,43","4,00","34,3","31,3", Danemark,"87,8 %", Chili,"77,4", Syrie,"2,52", Burkina Faso,"11,5","09,6", Biélorussie,"3,99","0,4 %","3,90","0,4 %", Indonésie,"27,5 %","67,2 %","5,3 %", Bolivie,"23,3"
 Colombie,51 266 000,"2,7","4,5","7,6", Senegal,3.97, Vanuatu,"102,6","106,6", Sao Tomé-et-Principe,"4,40","4,67","33,3","35,6", Gabon,"87,4 %", Costa Rica,"77,1", Éthiopie,"2,51", Slovénie,"11,5","09,2", Bahreïn,"4,19","0,4 %","9,90","1,0 %", Iran,"23,6 %","71,2 %","5,2 %", Bosnie-Herzégovine,"40,2"
 Ouganda,47 124 000,"9,7","12,8","15,6", Zimbabwe,3.91, Irak,"102,4","106,5", Sénégal,"4,36","5,00","34,0","37,6", Groenland,"86,8 %", Portugal,"78,2", Tanzanie,"2,47", Angola,"11,3","09,3", Royaume-Uni,"4,19","0,4 %","4,30","0,4 %", Islande,"20,2 %","65,7 %","14,1 %", Botswana,"23,4"
 Espagne,46 745 000, Argentine,"6,3","7,5", Ghana,3.71, Syrie,"102,3","105,0", République centrafricaine,"4,36","5,10","34,7","37,3", Nouvelle-Zélande,"86,3 %", Cuba,"76,9", Guatemala,"2,47", Grèce,"11,2","10,2", Chypre,"4,20","0,4 %","2,60","0,3 %", Italie,"13,6 %","63,7 %","22,7 %", Brésil,"30,7"
 Argentine,45 606 000,"8,8","10,3","12,0", Madagascar,3.70, Égypte,"102,2","106,1", Guinée-Bissau,"4,16","4,90","32,9","38,4", Suède,"86,0 %", République tchèque,"75,9", Sénégal,"2,46", Portugal,"11,1","10,3", Nouvelle-Zélande,"4,31","0,4 %","5,40","0,5 %", Japon,"12,8 %","60,3 %","26,9 %", Bahreïn,"29,5"
 Soudan,44 909 000,"13,5","15,1","16,3", Sao Tome and Principe,3.69, Yémen,"102,1","105,0", Madagascar,"4,12","4,40","32,1","34,1", Brésil,"85,9 %", Maldives,"76,9", Comores[3],"2,46", Géorgie,"10,9","13,1", Monténégro,"4,41","0,4 %","3,80","0,4 %", Jordanie,"35,3 %","60,9 %","3,8 %", Bulgarie,"40,6"
 Algérie,44 617 000, Arménie,"47,5","65,8", Eritrea,3.65, Algérie,"102,0","105,0", Érythrée,"4,07","4,40","30,1","34,3", Émirats arabes unis,"85,8 %", Qatar,"77,4", Koweït,"2,44", Sierra Leone,"10,6","13,9", Pologne,"4,58","0,5 %","4,70","0,5 %", Cameroun,"42,3 %","54,5 %","3,2 %", Burkina Faso,"17,0"
