Pays,Population,Pays,densite 1970,densite 2000,Pays,taux de fecondite,Pays,hommes 100 femmes,Nb de nouveau-nés,Pays, Taux de fécondité /CIA Factbook 2016,Taux de fécondité/ONU 2010–2015,Taux de natalité (‰ hab)/CIA Factbook 2016,Taux de natalité (‰ hab)/ONU 2010–2015,Pays,taux deurbanisation,pays,espérance de vie des deux sexes,pays,taux de croissance demographique,pays,Taux de mortalité ‰ hab/(ONU 2010–2015),0,Pays,"Taux de mortalité infantile/‰ naissances (2010–2015, ONU",Taucde mortalitePourcentage,"Taux de mortalité infantile/‰ naissances (2016, Banque mondiale)", Banque mondiale en poucentage,Pays,Tranches âge 0 a 14ans,Tranches âge 15 a 64 ans,Tranches âge plus de 65 ans,pays ,Age médian Hommes
 Koweït,4 329 000,"136,7","144,8","150,7", Bermuda,1.91, Grèce,"97,0","106,4", Suède,"1,88","1,90","12,0","12,0", Maldives,"46,5 %", Myanmar,"64,6", Chili,"1,00", Brésil,"06,6","05,9", Ouzbékistan,"44,02","4,4 %","24,10","2,4 %",NaN,NaN,NaN,NaN, Îles Mariannes du Nord,"30,0"
 Croatie,4 082 000, Chypre,"53,5","62,0", Qatar,1.90, Colombie,"97,0","105,0", États-Unis,"1,87","1,88","12,5","12,5", Moldavie,"45,1 %", Pakistan,"65,5", Argentine,"1,00", Kirghizistan,"06,6","06,5", Sénégal,"44,34","4,4 %","47,10","4,7 %",NaN,NaN,NaN,NaN, Maroc,"28,3"
 Moldavie[l],4 024 000,"66,4","74,2","83,0", Île de Man,1.90, Finlande,"96,9","104,7", Norvège,"1,86","1,82","12,2","11,9", Angola,"44,8 %", Kiribati,"63,7", Hong Kong,"1,00", Papouasie-Nouvelle-Guinée,"06,5","07,2", Birmanie,"46,47","4,6 %","50,80","5,1 %",NaN,NaN,NaN,NaN, Îles Marshall,"22,6"
 Géorgie[m],3 980 000,"102,1","120,4","128,7", Paraguay,1.89, Turquie,"96,8","105,0", Seychelles,"1,86","2,38","13,9","17,7", Bénin,"44,4 %", Turkménistan,"62,2", États-Unis,"0,97", Irlande,"06,5","06,2", Érythrée,"46,49","4,6 %","44,50","4,5 %",NaN,NaN,NaN,NaN, Maurice,"33,9"
 Érythrée,3 601 000, Colombie,"11,1","14,9", Azerbaijan,1.87, Allemagne,"96,8","105,8", Iran,"1,83","1,75","17,8","18,2", Philippines,"44,3 %", Guyana,"63,9", Mongolie,"0,96", Bolivie,"06,5","07,6", Turkménistan,"46,70","4,7 %","51,00","5,1 %",NaN,NaN,NaN,NaN, Mauritanie,"19,3"
 Uruguay,3 485 000,"19,9","25,0","30,9", Costa Rica,1.87, Guatemala,"96,8","105,0", Viêt Nam,"1,82","1,96","15,7","17,4", Sénégal,"44,1 %", Rwanda,"60,9", Zimbabwe,"0,95", Pakistan,"06,4","07,5", Laos,"46,78","4,7 %","63,90","6,4 %",NaN,NaN,NaN,NaN, Mexique,"26,9"
 Mongolie,3 329 000,"36,4","41,4","44,6", New Caledonia,1.87, Brésil,"96,8","105,0", Chili,"1,81","1,82","13,7","13,9", Belize,"43,8 %", Gabon,"64,7", Canada,"0,90", Indonésie,"06,4","07,1", Haïti,"46,69","4,7 %","67,00","6,7 %",NaN,NaN,NaN,NaN, États fédérés de Micronésie,"24,0"
 Bosnie-Herzégovine,3 263 000, Comores,"85,7","102,7", New Zealand,1.87, Burundi,"96,7","103,0", Saint-Vincent-et-les-Grenadines,"1,81","2,00","13,4","16,4", Égypte,"43,2 %", Namibie,"63,1", Nouvelle-Zélande,"0,90", Mongolie,"06,3","06,3", Gambie,"47,07","4,7 %","65,30","6,5 %",NaN,NaN,NaN,NaN, Moldavie,"34,5"
 Jamaïque,2 973 000,"123,6","165,4","221,2", United Kingdom,1.86, Guinée-Bissau,"96,7","103,0", Uruguay,"1,81","2,04","13,0","14,4", République démocratique du Congo,"43,0 %", Yémen,"64,3", Liechtenstein,"0,89", Islande,"06,3","06,4", Papouasie-Nouvelle-Guinée,"47,58","4,8 %","54,30","5,4 %",NaN,NaN,NaN,NaN, Monaco,"51,1"
 Arménie,2 968 000,"291,4","370,6","447,3", Sweden,1.86, Belgique,"96,7","105,0", Monténégro,"1,80","1,71","12,2","12,0", Îles Féroé,"42,2 %", Laos,"64,1", Samoa,"0,87", Sri Lanka,"06,2","06,6", Zimbabwe,"48,21","4,8 %","56,40","5,6 %",NaN,NaN,NaN,NaN, Mongolie,"27,1"
 Qatar,2 931 000, République du Congo,"2,4","3,0", Suriname,1.85, Nouvelle-Zélande,"96,7","105,5", Bahreïn,"1,79","1,90","17,2","16,7", Zambie,"41,4 %", Botswana,"63,3", Birmanie,"0,85", Suriname,"06,1","07,1", Rwanda,"49,21","4,9 %","38,50","3,9 %",NaN,NaN,NaN,NaN, Monténégro,"39,3"
 Albanie,2 873 000,"4,0","5,4","7,1", United States,1.84, Tchéquie,"96,6","105,8", Belgique,"1,78","1,78","11,4","11,4", Mali,"40,7 %", Madagascar,"63,9", Islande,"0,84", Fidji,"06,1","06,8", Éthiopie,"49,99","5,0 %","58,40","5,8 %",NaN,NaN,NaN,NaN, Montserrat (Royaume-Uni),"32,1"
 Porto Rico,2 828 000,"9,4","12,8","15,8", Norway,1.84, France,"96,6","105,2", Pays-Bas,"1,78","1,73","10,9","10,6", Togo,"40,5 %", Éthiopie,"62,8", Saint-Marin,"0,81", Cap-Vert,"06,1","05,7", Togo,"50,18","5,0 %","75,70","7,6 %",NaN,NaN,NaN,NaN, Mozambique,"16,5"
 Lituanie,2 690 000, République démocratique du Congo,"5,4","6,7", Îles Caïmans,1.83, Afrique du Sud,"96,5","103,0", Saint-Christophe-et-Niévès,"1,78","1,74","13,3","13,4", République centrafricaine,"40,3 %", Congo,"63,2", Maurice,"0,78", Chili,"06,1","05,9", République du Congo,"50,61","5,1 %","54,10","5,4 %",NaN,NaN,NaN,NaN, Namibie,"20,2"
 Namibie,2 587 000,"8,8","11,6","15,3", Aruba,1.83, Sénégal,"96,4","103,6", Ouzbékistan,"1,78","2,38","16,9","22,2", Sierra Leone,"40,3 %", Érythrée,"62,4", Espagne,"0,77", Turkménistan,"06,1","07,2", Ghana,"51,08","5,1 %","58,80","5,9 %",NaN,NaN,NaN,NaN, Nauru,"26,5"
 Gambie,2 487 000,"20,8","28,5","37,1", Seychelles,1.82, Bosnie-Herzégovine,"96,4","105,9", Australie,"1,77","1,88","12,1","13,3", Guinée équatoriale,"40,1 %", Syrie,"59,9", Azerbaïdjan,"0,75", Yémen,"06,1","06,8", Kenya,"52,48","5,2 %","49,20","4,9 %",NaN,NaN,NaN,NaN, Népal,"22,4"
 Botswana,2 397 000, Îles Cook (Nouvelle-Zélande),"62,8","76,1", French Polynesia,1.82, Espagne,"96,4","106,4", Bahreïn,"1,77","2,12","13,5","16,0", Somalie,"40,0 %", Soudan,"62,4", Kazakhstan,"0,71", Tadjikistan,"06,1","05,3", Soudan,"53,32","5,3 %","65,10","6,5 %",NaN,NaN,NaN,NaN, Nicaragua,"24,3"
 Gabon,2 279 000,"89,2","73,5","76,5", Montenegro,1.82, Rwanda,"96,2","102,2", Brésil,"1,76","1,78","14,3","15,0", Bosnie-Herzégovine,"39,9 %", Comores,"61,9", Macao,"0,70", Philippines,"06,1","06,4", Yémen,"53,55","5,4 %","55,50","5,6 %",NaN,NaN,NaN,NaN, Niger,"15,2"
 Lesotho,2 159 000,"75,5","77,3","72,5", Nicaragua,1.81, Angola,"96,1","103,0", Géorgie,"1,76","2,00","12,5","14,4", Laos,"39,7 %", Djibouti,"61,8", Guadeloupe,"0,68", Timor oriental,"06,0","05,9", Djibouti,"55,31","5,5 %","64,20","6,4 %",NaN,NaN,NaN,NaN, Nigeria,"18,2"
 Macédoine du Nord,2 083 000, Corée du Nord,"87,6","94,9", Saint Martin,1.80, Sainte-Lucie,"96,0","103,0", Russie,"1,76","1,70","12,2","13,0", Maurice,"39,5 %", Haiti,"61,5", Îles Féroé,"0,68", Belize,"06,0","05,6", Zambie,"55,36","5,5 %","63,40","6,3 %",NaN,NaN,NaN,NaN, Norvège,"38,4"
 Slovénie,2 079 000,"119,7","145,1","168,5", Bhutan,1.80, Autriche,"95,9","105,5", Finlande,"1,75","1,77","10,7","10,8", Bhoutan,"39,4 %", Kenya,"61,1", Thaïlande,"0,66", Tunisie,"06,0","06,4", Guinée,"59,20","5,9 %","89,00","8,9 %",NaN,NaN,NaN,NaN, Nouvelle-Calédonie (France),"31,0"
 Guinée-Bissau,2 015 000,"190,4","204,2","212,7", Netherlands,1.78, Bahamas,"95,9","105,7", Sainte-Lucie,"1,75","1,51","13,5","12,6", Pakistan,"39,2 %", Mauritanie,"61,6", Wallis-et-Futuna,"0,66", Pérou,"06,0","05,6", Niger,"59,84","6,0 %","91,30","9,1 %",NaN,NaN,NaN,NaN, Nouvelle-Zélande,"36,9"
 Lettonie,1 867 000, Corée du Sud,"197,6","260,6", Denmark,1.77, Argentine,"95,8","104,0", Maurice,"1,75","1,49","13,1","11,1", Guinée,"37,7 %", Papouasie-Nouvelle-Guinée,"60,6", Lesotho,"0,63", Turquie,"05,9","05,8", Malawi,"60,09","6,0 %","55,10","5,5 %",NaN,NaN,NaN,NaN, Oman,"26,5"
 Bahreïn,1 748 000,"331,3","391,3","441,5", Belgium,1.77, Corée du Nord,"95,7","105,0", Danemark,"1,73","1,73","10,4","10,4", Ouzbékistan,"36,5 %", Afrique du Sud,"59,3", Swaziland / Eswatini,"0,63", Nauru,"05,9","06,5", Lesotho,"60,14","6,0 %","93,50","9,4 %",NaN,NaN,NaN,NaN, Ouganda,"15,6"
 Guinée équatoriale,1 450 000,"487,4","509,6","526,2", Saint Kitts and Nevis,1.77, Serbie,"95,6","105,2", Maldives,"1,73","2,22","16,0","19,8", Kirghizistan,"35,9 %", Ghana,"61,0", Norvège,"0,62", Iran,"05,9","04,7", Liberia,"61,18","6,1 %","67,40","6,7 %",NaN,NaN,NaN,NaN, Ouzbékistan,"27,6"
 Trinité-et-Tobago,1 403 000, Costa Rica,"18,8","26,1", Malaysia,1.76, Japon,"95,5","105,6", Liban,"1,73","1,72","14,4","15,0", Madagascar,"35,7 %", Ouganda,"60,3", Fidji,"0,62", Viêt Nam,"05,9","05,8", Ouganda,"61,20","6,1 %","53,00","5,3 %",NaN,NaN,NaN,NaN, Pakistan,"23,3"
 Timor oriental,1 344 000,"36,2","46,8","60,6", Chile,1.76, Birmanie,"95,5","103,0", Trinité-et-Tobago,"1,71","1,80","13,1","14,7", Yémen,"35,2 %", Niger,"60,9", Groenland,"0,60", Corée du Sud,"05,8","05,5", Mozambique,"64,42","6,4 %","71,30","7,1 %",NaN,NaN,NaN,NaN, Palaos,"32,7"
 Estonie,1 325 000,"76,9","89,0","97,0", Uruguay,1.76, Thaïlande,"95,4","106,2", Palaos,"1,71","1,98","11,2","13,5",NaN,NaN, Tanzanie,"59,9", Malouines,"0,59", Antigua-et-Barbuda,"05,7","05,8", Eswatini,"64,64","6,5 %","70,40","7,0 %",NaN,NaN,NaN,NaN, Palestine,"18,0"
 Maurice,1 273 000, Côte d'Ivoire,"8,3","11,2", Saint Vincent and the Grenadines,1.75, Mozambique,"95,2","103,0", Cuba,"1,71","1,71","10,8","11,2",NaN,NaN, Zambie,"59,0", Albanie,"0,57", Salvador,"05,7","06,6", Burkina Faso,"66,54","6,7 %","84,60","8,5 %",NaN,NaN,NaN,NaN, Panama,"28,5"
 Chypre[n],1 216 000,"16,5","26,1","38,6", Georgia,1.75, Cambodge,"95,2","104,9", Liechtenstein,"1,69","1,73","09,7","09,8",NaN,NaN, Liberia,"59,8", Suriname,"0,56", Népal,"05,7","06,5", Mauritanie,"67,27","6,7 %","81,40","8,1 %",NaN,NaN,NaN,NaN, Papouasie-Nouvelle-Guinée,"23,0"
 Eswatini,1 172 000,"52,5","64,2","78,3", Brunei,1.75, Zimbabwe,"94,8","102,0", Barbade,"1,68","1,79","11,8","12,2",NaN,NaN, Gambie,"59,8", Afrique du Sud,"0,55", Colombie,"05,4","05,8", Bénin,"68,70","6,9 %","97,60","9,8 %",NaN,NaN,NaN,NaN, Paraguay,"27,5"
 Djibouti,1 002 000, Croatie,"68,8","74,9", Finland,1.74, Italie,"94,8","106,3", Arménie,"1,64","1,65","13,3","14,5",NaN,NaN, Zimbabwe,"59,0", Porto Rico,"0,55", Mexique,"05,3","04,8", Pakistan,"69,84","7,0 %","78,80","7,9 %",NaN,NaN,NaN,NaN, Pays-Bas,"41,4"
 Fidji,903 000,"79,0","82,2","85,4", Australia,1.74, Bulgarie,"94,7","106,0", Porto Rico,"1,64","1,52","10,8","11,2",NaN,NaN, Afghanistan,"59,3", Jamaïque,"0,54", Samoa,"05,3","05,1", Guinée équatoriale,"70,10","7,0 %","90,90","9,1 %",NaN,NaN,NaN,NaN, Pérou,"26,9"
 La Réunion,902 000,"79,1","77,3","74,4", Uzbekistan,1.73, Slovaquie,"94,6","105,0", Tchéquie,"1,63","1,48","10,7","10,4",NaN,NaN, Bénin,"58,8", Tonga,"0,50", Bangladesh,"05,3","05,4", Afghanistan,"71,12","7,1 %","70,40","7,0 %",NaN,NaN,NaN,NaN, Philippines,"22,9"
 Comores,888 000, Cuba,"55,6","67,1", Mauritius,1.73, Namibie,"94,5","103,0", Luxembourg,"1,61","1,55","11,4","11,2",NaN,NaN, Burkina Faso,"59,1", Saint-Vincent-et-les-Grenadines,"0,50", Ouzbékistan,"05,3","05,9", République démocratique du Congo,"73,18","7,3 %","94,30","9,4 %",NaN,NaN,NaN,NaN, Pologne,"38,6"
 Guyana,790 000,"81,9","92,4","99,4", Brazil,1.73, Lesotho,"94,2","103,0", Macédoine du Nord,"1,60","1,50","11,5","11,3",NaN,NaN, Togo,"58,6", Suède,"0,49", Honduras,"05,2","04,8", Côte d'Ivoire,"73,43","7,3 %","91,80","9,2 %",NaN,NaN,NaN,NaN, Polynésie française (France),"31,3"
 Bhoutan,780 000,"104,8","106,5","107,9", Saint Lucia,1.73, Népal,"94,2","106,5", Chine,"1,60","1,60","12,4","12,6",NaN,NaN, République démocratique du Congo,"58,3", France[5],"0,49", Guam,"05,2","04,9", Cameroun,"73,51","7,4 %","79,70","8,0 %",NaN,NaN,NaN,NaN, Porto Rico (États-Unis),"37,5"
 Îles Salomon,704 000, Curaçao (Pays-Bas),"225,6","285,9", Anguilla,1.72, Eswatini,"94,0","103,0", Canada,"1,60","1,61","10,3","10,9",NaN,NaN, Burundi,"57,7", Seychelles,"0,49", Israël,"05,2","05,4", Nigeria,"76,31","7,6 %","104,30","10,4 %",NaN,NaN,NaN,NaN, Portugal,"39,8"
 Macao,658 000,"323,5","333,3","330,3", Lebanon,1.71, Roumanie,"94,0","105,8", Estonie,"1,60","1,59","10,3","10,8",NaN,NaN, Guinée,"58,2", Royaume-Uni,"0,48", Venezuela,"05,2","05,5", Soudan du Sud,"77,67","7,8 %","90,70","9,1 %",NaN,NaN,NaN,NaN, Qatar,"33,6"
 Luxembourg,635 000,"297,5","332,5","363,9", Wallis-et-Futuna  (France),1.71, Kazakhstan,"93,9","106,0", Lituanie,"1,59","1,59","10,0","10,4",NaN,NaN, Guinée-Bissau,"57,2", République populaire de Chine,"0,48", Malaisie,"05,1","04,7", Burundi,"77,87","7,8 %","71,70","7,2 %",NaN,NaN,NaN,NaN, Roumanie,"39,3"
 Monténégro,628 000, Danemark,"100,6","108,0", Cuba,1.71, Pologne,"93,4","105,6", Slovénie,"1,58","1,58","09,9","10,5",NaN,NaN, Eswatini,"56,6", Sri Lanka,"0,47", Équateur,"05,1","05,2", Somalie,"79,47","7,9 %","132,50","13,3 %",NaN,NaN,NaN,NaN, Royaume-Uni,"39,3"
Sahara occidental,612 000,"116,2","120,8","121,2", Maldives,1.71, Uruguay,"93,3","105,0", Suisse,"1,55","1,53","10,5","10,3",NaN,NaN, Malawi,"56,7", États fédérés de Micronésie,"0,46", Nicaragua,"05,1","04,8", Mali,"84,0","8,4 %","110,60","11,1 %",NaN,NaN,NaN,NaN, Russie,"36,4"
 Suriname,592 000,"125,9","130,9","135,6", Barbados,1.70, Sri Lanka,"93,0","104,2", Malte,"1,55","1,41","10,1","09,7",NaN,NaN, Mali,"58,2", Malte,"0,43", Liban,"04,9","04,6", Guinée-Bissau,"91,87","9,2 %","88,10","8,8 %",NaN,NaN,NaN,NaN, Rwanda,"18,7"
 Cap-Vert,562 000, Djibouti,"2,7","3,6", Palau,1.70, Croatie,"93,0","105,9", Ukraine,"1,54","1,49","10,5","10,8",NaN,NaN, Guinée équatoriale,"56,6", Tuvalu,"0,42", Tonga,"04,9","06,1", République centrafricaine,"93,37","9,3 %","123,60","12,4 %",NaN,NaN,NaN,NaN,Sahara occidental,"20,7"
 Maldives,544 000,"6,9","15,5","25,5", Trinidad and Tobago,1.70, Moldavie,"92,5","105,8", Monaco,"1,53","1,76","06,6","07,3",NaN,NaN, Mozambique,"55,7", Palaos,"0,41", Panama,"04,9","05,0", Sierra Leone,"94,43","9,4 %","113,50","11,4 %",NaN,NaN,NaN,NaN, Saint-Christophe-et-Niévès,"34,6"
 Malte,443 000,"31,0","36,7","41,9", Îles Turques-et-Caïques,1.70, Porto Rico,"92,5","105,3", Lettonie,"1,51","1,50","09,9","10,2",NaN,NaN, Soudan du Sud,"56,1", Suisse,"0,38", Maroc,"04,8","05,2", Tchad,"95,85","9,6 %","127,30","12,7 %",NaN,NaN,NaN,NaN, Saint-Marin,"43,1"
 Brunei,442 000, République dominicaine,"48,9","68,2", Liechtenstein,1.69, Macao,"92,2","105,0", Thaïlande,"1,51","1,53","11,1","11,3",NaN,NaN, Cameroun,"55,9", Portugal,"0,37", Égypte,"04,7","06,1", Angola,"96,23","9,6 %","82,50","8,3 %",NaN,NaN,NaN,NaN, Saint-Martin (Pays-Bas),"39,8"
 Belize,405 000,"93,2","120,2","148,7", Bahrain,1.68, Antigua-et-Barbuda,"92,2","103,0", Albanie,"1,51","1,71","13,1","14,0",NaN,NaN, Somalie,"53,5", Trinité-et-Tobago,"0,37", Guatemala,"04,7","05,0",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, Saint-Pierre-et-Miquelon (France),"45,4"
 Guadeloupe,400 000,"177,2","204,8","225,2", Jersey,1.66, Barbade,"92,0","103,6", Saint-Marin,"1,50","1,53","08,6","08,6",NaN,NaN, Nigeria,"53,4", Autriche,"0,36", Paraguay,"04,7","05,6",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, Saint-Vincent-et-les-Grenadines,"33,2"
 Bahamas,397 000, Dominique,"68,1","80,0", United Arab Emirates,1.65, Géorgie,"91,3","108,1", Allemagne,"1,49","1,43","08,5","08,5",NaN,NaN, Lesotho,"51,7", Andorre,"0,36", Costa Rica,"04,6","04,7",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN," Sainte-Hélène, Ascension et Tristan da Cunha (Royaume-Uni)","41,5"
 Martinique,375 000,"94,8","100,4","94,6", Armenia,1.65, Hongrie,"90,6","106,0", Espagne,"1,49","1,33","09,4","09,4",NaN,NaN, Côte d'Ivoire,"52,3", Taïwan[6],"0,36", République dominicaine,"04,6","06,0",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, Sainte-Lucie,"33,0"
 Islande,343 000,"92,9","95,3","99,1", Saint-Barthélemy,1.64, Portugal,"90,0","106,0", Biélorussie,"1,48","1,64","10,5","12,1",NaN,NaN, Tchad,"51,7", Corée du Nord,"0,34", Macao,"04,4","03,7",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, Îles Salomon,"22,0"
 Vanuatu,314 000, Égypte,"20,8","27,1", Luxembourg,1.63, Salvador,"88,9","105,0", Slovaquie,"1,48","1,39","09,9","10,5",NaN,NaN, République centrafricaine,"50,9", Monaco,"0,33", Algérie,"04,3","04,8",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, Salvador,"25,1"
 Guyane,306 000,"35,2","44,3","57,7", Estonia,1.61, Arménie,"88,7","113,2", Chypre,"1,47","1,38","11,4","11,3",NaN,NaN, Angola,"50,9", Corée du Sud,"0,33", États fédérés de Micronésie,"04,2","06,2",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, Samoa,"23,7"
 Barbade,288 000,"70,2","84,5","99,8", Lithuania,1.61, Estonie,"87,9","105,8", Autriche,"1,47","1,45","09,5","09,4",NaN,NaN, Sierra Leone,"49,3", Barbade,"0,32", Îles Marshall,"04,2","05,6",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, Samoa américaines (États-Unis),"28,8"
 Nouvelle-Calédonie,288 000, Émirats arabes unis,"0,8","1,1", Russia,1.60, Biélorussie,"87,0","106,1", Bulgarie,"1,46","1,51","08,8","09,4",NaN,NaN,NaN,NaN, Finlande,"0,29", Vanuatu,"04,1","04,8",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, Sao Tomé-et-Principe,"17,8"
 Polynésie française,283 000,"2,8","12,5","22,3", China,1.60, Russie,"86,8","105,5", Hongrie,"1,44","1,33","09,1","09,1",NaN,NaN,NaN,NaN, Nauru,"0,29", Maldives,"03,9","03,5",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, Sénégal,"17,5"
 Mayotte,280 000,"37,7","98,9","114,1"," Sainte-Hélène, Ascension et Tristan da Cunha",1.60, Hong Kong,"85,9","106,7", Japon,"1,44","1,41","07,8","08,4",NaN,NaN,NaN,NaN, Uruguay,"0,29", Jordanie,"03,8","03,8",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, Serbie,"40,7"
 Sao Tomé-et-Principe,223 000, Équateur,"14,0","18,3", Slovenia,1.59, Ukraine,"85,9","106,3", Serbie,"1,43","1,59","09,0","10,6",NaN,NaN,NaN,NaN, Martinique,"0,28", Îles Salomon,"03,8","05,1",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, Seychelles,"34,4"
 Samoa,200 000,"24,5","32,1","41,1", Saint-Pierre-et-Miquelon (France),1.58, Lituanie,"85,4","105,2", Italie,"1,43","1,43","08,7","08,6",NaN,NaN,NaN,NaN, Bermudes,"0,25", Irak,"03,8","05,4",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, Sierra Leone,"18,4"
 Sainte-Lucie,184 000,"50,8","60,1","67,9", Moldova,1.58, Lettonie,"84,8","105,7", Grèce,"1,42","1,34","08,5","09,0",NaN,NaN,NaN,NaN, Belgique,"0,24", Bahreïn,"03,6","03,4",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, Singapour,"34,2"
 Jersey et  Guernesey,175 000, Érythrée,"11,3","13,8", Guernesey  (RU),1.58,NaN,NaN,NaN, Croatie,"1,42","1,49","09,0","09,6",NaN,NaN,NaN,NaN, Pays-Bas,"0,21", Libye,"03,6","05,2",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, Slovaquie,"38,4"
 Guam,170 000,"17,9","23,6","30,8", Switzerland,1.58,NaN,NaN,NaN, Andorre,"1,39","1,46","07,8","08,3",NaN,NaN,NaN,NaN, Grèce,"0,21", Singapour,"03,5","04,7",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, Slovénie,"42,5"
 Curaçao,165 000,"33,6","43,5","51,4", Canada,1.57,NaN,NaN,NaN, Portugal,"1,38","1,28","09,1","08,5",NaN,NaN,NaN,NaN, Danemark,"0,21", Palestine,"03,4","03,6",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, Somalie,"18,1"
 Kiribati,121 000, Espagne,"56,3","61,1", Ukraine,1.56,NaN,NaN,NaN, Pologne,"1,34","1,33","09,6","10,0",NaN,NaN,NaN,NaN,Îles Anglo-Normandes,"0,19", Oman,"03,3","02,7",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, Soudan,"19,4"
 États fédérés de Micronésie,116 000,"68,1","75,8","78,8", Thailand,1.54,NaN,NaN,NaN, Roumanie,"1,34","1,48","09,0","09,8",NaN,NaN,NaN,NaN, Bosnie-Herzégovine,"0,13", Arabie saoudite,"03,3","03,5",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, Soudan du Sud,"17,0"
 Grenade,113 000,"82,0","93,8","93,0", Latvia,1.54,NaN,NaN,NaN, Moldavie,"1,33","1,27","10,6","10,9",NaN,NaN,NaN,NaN, Italie,"0,13", Bahreïn,"02,7","02,3",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, Sri Lanka,"31,2"
 Saint-Vincent-et-les-Grenadines,111 000, Estonie,"26,0","28,7", Albania,1.53,NaN,NaN,NaN, Bosnie-Herzégovine,"1,28","1,31","08,8","09,1",NaN,NaN,NaN,NaN, Serbie,"0,13", Koweït,"02,2","02,6",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, Suède,"40,2"
 Aruba,107 000,"32,1","34,8","36,9", Monaco,1.52,NaN,NaN,NaN, Corée du Sud,"1,25","1,23","08,4","08,9",NaN,NaN,NaN,NaN, Gibraltar,"0,08", Émirats arabes unis,"02,0","01,5",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, Suisse,"41,3"
 Tonga,107 000,"33,0","31,4","30,8", San Marino,1.52,NaN,NaN,NaN, Hong Kong,"1,19","1,20","09,1","10,5",NaN,NaN,NaN,NaN, Macédoine,"0,08", Qatar,"01,5","01,5",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, Suriname,"29,1"
 Îles Vierges des États-Unis,104 000, Eswatini (Swaziland),"15,9","20,3", Spain,1.51,NaN,NaN,NaN, Taïwan,"1,12","1,11","08,4","08,7",NaN,NaN,NaN,NaN, Saint-Pierre-et-Miquelon,"0,07",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, Syrie,"23,7"
 Antigua-et-Barbuda,99 000,"25,9","35,1","50,1", Belarus,1.51,NaN,NaN,NaN, Macao,"0,94","1,19","08,8","11,3",NaN,NaN,NaN,NaN, Vatican,"0,05",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, Tadjikistan,"23,6"
 Seychelles,99 000,"61,7","69,9","80,9", Austria,1.50,NaN,NaN,NaN, Singapour,"0,82","1,23","08,4","09,3",NaN,NaN,NaN,NaN, Île de Man,"0,04",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, Taïwan,"39,5"
 Île de Man,85 000, États-Unis,"17,4","20,4", Malta,1.50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, Slovaquie,"0,03",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, Tanzanie,"17,3"
 Andorre,77 000,"22,9","25,1","27,6", Bulgaria,1.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, Grenade,"0,02",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, Tchad,"16,6"
 Îles Caïmans,76 000,"30,8","33,7","35,7", Tchéquie,1.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, Slovénie,"0,01",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, Tchéquie,"40,4"
 Dominique,72 000, Éthiopie,"18,1","22,2", Germany,1.48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, Aruba,"0,01",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, Thaïlande,"36,2"
